Date,Location,City,State,Country,Distance in mile,Program
2023-10-27,"Great Falls, MT",Great Falls, MT,,0.0,men_basketball
2023-10-28,"Great Falls, MT",Great Falls, MT,,0.0,men_basketball
2023-11-04,"Great Falls, MT",Great Falls, MT,,0.0,men_basketball
2023-11-10,"Portland, OR",Portland, OR,,671.11,men_basketball
2023-11-11,"Portland, OR",Portland, OR,,671.11,men_basketball
2023-11-16,"Butte, MT",Butte, MT,,142.53,men_basketball
2023-11-17,"Butte, MT",Butte, MT,,142.53,men_basketball
2023-12-03,"Havre, MT",Havre, MT,,124.97,men_basketball
2023-12-06,"Billings, Mont.",Billings, Mont.,,213.83,men_basketball
2023-12-08,"Great Falls, MT",Great Falls, MT,,0.0,men_basketball
2023-12-16,"Chandler, AZ",Chandler, AZ,,1176.14,men_basketball
2023-12-18,"Chandler, AZ",Chandler, AZ,,1176.14,men_basketball
2023-12-19,"Chandler, AZ",Chandler, AZ,,1176.14,men_basketball
2023-12-28,"Billings, MT",Billings, MT,,213.83,men_basketball
2023-12-29,"Billings, MT",Billings, MT,,213.83,men_basketball
2024-01-06,"Great Falls, MT",Great Falls, MT,,0.0,men_basketball
2024-01-11,"Billings, MT",Billings, MT,,213.83,men_basketball
2024-01-13,"Great Falls, MT",Great Falls, MT,,0.0,men_basketball
2024-01-18,"Havre, Mont.",Havre, Mont.,,124.97,men_basketball
2024-01-20,"Great Falls, MT",Great Falls, MT,,0.0,men_basketball
2024-01-25,"Great Falls, MT",Great Falls, MT,,0.0,men_basketball
2024-01-27,"Helena, MT",Helena, MT,,86.58,men_basketball
2024-02-01,"Dillon, Mont.",Dillon, Mont.,,204.9,men_basketball
2024-02-03,"Great Falls, MT",Great Falls, MT,,0.0,men_basketball
2024-02-08,"Butte, Mont.",Butte, Mont.,,142.53,men_basketball
2024-02-10,"Billings, MT",Billings, MT,,213.83,men_basketball
2024-02-15,"Helena, MT",Helena, MT,,86.58,men_basketball
2024-02-17,"Great Falls, MT",Great Falls, MT,,0.0,men_basketball
2024-02-22,"Great Falls, MT",Great Falls, MT,,0.0,men_basketball
2024-02-24,"Great Falls, MT",Great Falls, MT,,0.0,men_basketball
,"Great Falls, MT",Great Falls, MT,,0.0,men_basketball
2023-09-07,"Great Falls, MT",Great Falls, MT,,0.0,men_cross_country
2023-09-15,"Missoula, Mont.",Missoula, Mont.,,161.57,men_cross_country
2023-10-06,"Billings, MT",Billings, MT,,213.83,men_cross_country
2023-10-14,"Lewiston, ID",Lewiston, ID,,337.29,men_cross_country
2023-10-19,"Havre, Mont.",Havre, Mont.,,124.97,men_cross_country
2023-11-03,"Great Falls, MT",Great Falls, MT,,0.0,men_cross_country
2023-09-02,"Butte, Mont.",Butte, Mont.,,142.53,men_golf
2023-09-11,"Butte, Mont.",Butte, Mont.,,142.53,men_golf
